sentence	aspect	polarity
Judging from previous posts this used to be a good place, but not any longer.	restaurant general	negative
We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.	service general	negative
They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.	service general	negative
The food was lousy - too sweet or too salty and the portions tiny.	food quality	negative
The food was lousy - too sweet or too salty and the portions tiny.	food style options	negative
After all that, they complained to me about the small tip.	service general	negative
Avoid this place!	restaurant general	negative
I have eaten at Saul, many times, the food is always consistently, outrageously good.	food quality	positive
Saul is the best restaurant on Smith Street and in Brooklyn.	restaurant general	positive
The duck confit is always amazing and the foie gras terrine with figs was out of this world.	food quality	positive
The wine list is interesting and has many good values.	drinks prices	positive
The wine list is interesting and has many good values.	drinks style options	positive
For the price, you cannot eat this well in Manhattan.	food quality	positive
For the price, you cannot eat this well in Manhattan.	restaurant prices	positive
I was very disappointed with this restaurant.	restaurant general	negative
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.	service general	negative
I had to ask her three times before she finally came back with the dish Ive requested.	service general	negative
Food was okay, nothing great.	food quality	neutral
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 	ambience general	negative
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 	food quality	negative
I/we will never go back to this place again.	restaurant general	negative
Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!	restaurant general	positive
Service was devine, oysters where a sensual as they come, and the price can't be beat!!!	food quality	positive
Service was devine, oysters where a sensual as they come, and the price can't be beat!!!	restaurant prices	positive
Service was devine, oysters where a sensual as they come, and the price can't be beat!!!	service general	positive
You can't go wrong here.	restaurant general	positive
Every time in New York I make it a point to visit Restaurant Saul on Smith Street.	restaurant general	positive
Everything is always cooked to perfection, the service is excellent, the decor cool and understated.	ambience general	positive
Everything is always cooked to perfection, the service is excellent, the decor cool and understated.	food quality	positive
Everything is always cooked to perfection, the service is excellent, the decor cool and understated.	service general	positive
I had the duck breast special on my last visit and it was incredible.	food quality	positive
Can't wait wait for my next visit.	restaurant general	positive
And I hate to say this but I doubt I'll ever go back. 	restaurant general	negative
The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.	food quality	negative
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.	food quality	positive
I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).	food quality	positive
I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).	food style options	positive
The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.	ambience general	negative
Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!	drinks style options	positive
Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!	service general	positive
The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!	food quality	positive
We went around 9:30 on a Friday and it had died down a bit by then so the service was great!	service general	positive
we love th pink pony.	restaurant general	positive
THe perfect spot.	restaurant general	positive
Food-awesome.	food quality	positive
Service- friendly and attentive.	service general	positive
Ambiance- relaxed and stylish.	ambience general	positive
Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.	restaurant general	positive
the food is decent.	food quality	neutral
however, it's the service that leaves a bad taste in my mouth.	service general	negative
i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.	service general	negative
i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.	service general	negative
well, i didn't find it there, and trust, i have told everyone i can think of about my experience. 	restaurant general	negative
the last time i walked by it looked pretty empty. hmmm.	restaurant miscellaneous	negative
This place has got to be the best japanese restaurant in the new york area.	restaurant general	positive
I had a great experience.	restaurant general	positive
Food is great.	food quality	positive
Service is top notch.	service general	positive
I have been going back again and again.	restaurant general	positive
I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.	food quality	positive
It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.	food quality	positive
The sushi seemed pretty fresh and was adequately proportioned.	food quality	positive
The sushi seemed pretty fresh and was adequately proportioned.	food style options	positive
The rice to fish ration was also good--they didn't try to overpack the rice.	food style options	positive
We took advanatage of the half price sushi deal on saturday so it was well worth it.	food quality	positive
Surprisingly nothing could be further from the truth.	restaurant miscellaneous	positive
In the evening, this place attracted a well dressed, with it, NY crowd.	restaurant miscellaneous	positive
The food was well prepared and the service impecable.	food quality	positive
The food was well prepared and the service impecable.	service general	positive
I'm going back.	restaurant general	positive
Quite simply it's like stepping out of Manhattan and into a haven of tranquility.	ambience general	positive
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).	food prices	positive
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).	food quality	positive
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).	food style options	positive
I will be going back and heartily recommend it!	restaurant general	positive
It is terrific, as is the value.	food prices	positive
It is terrific, as is the value.	food quality	positive
$6 and there is much tasty food, all of it fresh and continually refilled.	food prices	positive
$6 and there is much tasty food, all of it fresh and continually refilled.	food quality	positive
$6 and there is much tasty food, all of it fresh and continually refilled.	food style options	positive
I am not a vegetarian but, almost all the dishes were great.	food quality	positive
Go hungry and enjoy.	restaurant general	positive
The food here is rather good, but only if you like to wait for it.	food quality	positive
The food here is rather good, but only if you like to wait for it.	service general	negative
