sentence	aspect	polarity
but the waitstaff was so horrible to us.	service	negative
to be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of teodora.	food	positive
to be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of teodora.	misc	negative
the food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.	food	positive
where gabriela personally greets you and recommends you what to eat.	service	positive
for those that go once and don't enjoy it, all i can say is that they just don't get it.	misc	positive
not only was the food outstanding, but the little perks were great.	food	positive
not only was the food outstanding, but the little perks were great.	service	positive
it is very overpriced and not very tasty.	food	negative
it is very overpriced and not very tasty.	price	negative
our agreed favorite is the orecchiette with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).	food	positive
our agreed favorite is the orecchiette with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).	service	positive
the bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.	food	positive
nevertheless the food itself is pretty good.	food	positive
they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.	food	negative
it took half an hour to get our check, which was perfect since we could sit, have drinks and talk!	service	conflict
the design and atmosphere is just as good.	ambience	positive
he has visited thailand and is quite expert on the cuisine.	food	positive
i would definitely recommend mary's and am making it one of my regular neighborhood haunts.	misc	positive
the pizza is the best if you like thin crusted pizza.	food	positive
my girlfriend and i stumbled onto this hopping place the other night and had a great time!	misc	positive
he can't help, they're bought up so fast.	misc	neutral
secondly, on this night the place was overwhelmed by upper east side ladies perfume.	ambience	negative
i have eaten here a handful of times, for no reason besides sheer convenience.	misc	neutral
obviously run by folks who know a pie.	service	positive
we were very disappointed.	misc	negative
it is definitely special and affordable.	misc	positive
it is definitely special and affordable.	price	positive
i really liked this place.	misc	positive
i will be going back very soon.	misc	positive
all the money went into the interior decoration, none of it went to the chefs.	ambience	positive
all the money went into the interior decoration, none of it went to the chefs.	food	negative
the seats are uncomfortable if you are sitting against the wall on wooden benches.	ambience	negative
i asked for seltzer with lime, no ice.	food	neutral
it was pretty inexpensive too.	price	positive
will not be back.	misc	negative
don't go alone. even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.	food	positive
my suggestion is to eat family style because you'll want to try the other dishes.	food	neutral
best of all is the warm vibe, the owner is super friendly and service is fast.	service	positive
best of all is the warm vibe, the owner is super friendly and service is fast.	ambience	positive
this isn't a value joint.	price	negative
faan's got a great concept but a little rough on the delivery.	misc	positive
faan's got a great concept but a little rough on the delivery.	service	negative
from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.	food	positive
from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.	service	positive
from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.	ambience	positive
great food at reasonable prices, makes for an evening that can't be beat!	food	positive
great food at reasonable prices, makes for an evening that can't be beat!	price	positive
look forward to trying the ruben upon returning.	misc	positive
the only other steakhouse that seems to hold a candle to roth's is the strip house.	misc	neutral
we usually go to the chart house to celebrate a birthday or anniversary.	misc	neutral
this little place has a cute interior decor and affordable city prices.	ambience	positive
this little place has a cute interior decor and affordable city prices.	price	positive
you'll adore it.	misc	positive
two words: free wine.	price	positive
the price is reasonable although the service is poor.	service	negative
the price is reasonable although the service is poor.	price	positive
the quantity is also very good, you will come out satisfied.	food	positive
i have been to roth's twice and both times were very disappointing.	misc	negative
worth visiting the 1st ave spot because it is the original store.	misc	positive
i stumbled upon this second floor walk-up two fridays ago when i was with two friends in town from l.a. being serious sushi lovers, we sat at the sushi bar to be closer to the action.	misc	neutral
raga's is a romantic, cozy restaurant.	ambience	positive
the fried rice is amazing here.	food	positive
three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.	food	positive
it's a perfect place to have a amazing indian food.	food	positive
the place is so cool and the service is prompt and courteous.	service	positive
the place is so cool and the service is prompt and courteous.	ambience	positive
at the end you're left with a mild broth with noodles that you can slurp out of a cup.	food	positive
i just wonder how you can have such a delicious meal for such little money.	price	positive
i just wonder how you can have such a delicious meal for such little money.	food	positive
the food was delicious but do not come here on a empty stomach.	food	conflict
the wine list is excellent.	food	positive
so guarantee that you can't fit them in a toaster.	food	positive
ive been to many thai restaurants in manhattan before, and toons is by far the best thai food ive had (except for my mom's of course).	food	positive
they wouldn't even let me finish my glass of wine before offering another.	service	positive
i highly recommend the sophia pizza.	misc	positive
when asked, we had to ask more detailed questions so that we knew what the specials were.	service	negative
this is a consistently great place to dine for lunch or dinner.	misc	positive
nice atmosphere, the service was very pleasant and the desert was good.	food	positive
nice atmosphere, the service was very pleasant and the desert was good.	service	positive
nice atmosphere, the service was very pleasant and the desert was good.	ambience	positive
all the people that i bring there go back on their own and bring their friends!	misc	positive
after really enjoying ourselves at the bar we sat down at a table and had dinner.	misc	positive
fabulous service, fantastic food, and a chilled out atmosphere and environment.	food	positive
fabulous service, fantastic food, and a chilled out atmosphere and environment.	service	positive
fabulous service, fantastic food, and a chilled out atmosphere and environment.	ambience	positive
not what i wanted to hear.	misc	negative
try the lasagnette appetizer.	food	positive
pricey, but worth a try, at least once.	price	negative
pricey, but worth a try, at least once.	misc	positive
i've been there a few times, and i usually end up sitting next to some pretty odd people.	misc	negative
i liked the beer selection!	food	positive
great food, good size menu, great service and an unpretentious setting.	food	positive
great food, good size menu, great service and an unpretentious setting.	service	positive
great food, good size menu, great service and an unpretentious setting.	ambience	positive
go here for a romantic dinner but not for an all out wow dining experience.	misc	conflict
can't wait to go back.	misc	positive
